"Story","Title","Result","Date","Stability","Duration (s)"
"Validar Funcionalidad Carrito","Agregar Productos al Carrito","ERROR","2024-08-28T03:33:55.723-05:00[America/Bogota]","0.0","110.56"
"Gestion usuario PetStore","Crear usuario","SUCCESS","2024-08-25T20:08:48.571-05:00[America/Bogota]","0.0","3.59"
